file name,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion,
P_1_1_Darwin_43_T1,That’s… uhh right. ,7,Wally,Darwin,8_MC_EI,9_MO_EO,,,,,,
P_1_1_Red_44_T1,Then we must catch up to him and figure out what’s wrong!,8,Red,Darwin,7_MO_EI,9_MC_EO,,,,,,
P_1_1_Wally_45_T1,I agree.,9,Red,Wally,6_MC_EI,1_MO_EI,,,,,,
P_1_1_Red_46_T1,Darwin~ you know the prince the most.,10,Red,Wally,9_MO_EI,1_MC_EI,,,,,,
P_1_1_Red_46_T2,Can you think of anything that’ll help him?,11,Red,Wally,7_MO_EI,1_MC_EI,,,,,,
P_1_1_Darwin_47_T1,Hmm…,12,Red,Darwin,10_MC_EI,9_MO_EO,,,,,,
P_1_1_Darwin_47_T2,Perhaps Julius has forgotten about how good he really is…,13,Red,Darwin,10_MC_EI,8_MO_EI,,,,,,
P_1_1_Red_48_T1,Then maybe you can help him remember!,14,Red,Darwin,9_MO_EI,9_MC_EI,,,,,,
P_1_1_Darwin_49_T1,You're right!,15,Red,Darwin,10_MC_EI,8_MO_EI,,,,,,
P_1_1_Darwin_49_T2,However...,16,Red,Darwin,10_MC_EI,11_MO_EO,,,,,,
P_1_1_Darwin_49_T3,I can’t seem to remember anything specific… ,17,Red,Darwin,10_MC_EI,12_MO_EO,,,,,,
P_1_1_Darwin_50_T1,With this mess I can’t seem to think straight! ,18,Red,Darwin,1_MC_EI,7_MO_EI,,,,,,
P_1_1_Red_51_T1,My friends and I can clean up while you think on things!,19,Red,Darwin,1_MO_EI,7_MC_EI,,,,,,
P_1_1_Red_51_T2,Besides~ we shouldn't leave things messy anyway!,20,Red,Darwin,13_MO_EO,7_MC_EI,,,,,,
P_1_1_Darwin_52_T1,Alright!,21,Red,Darwin,1_MC_EI,2_MO_EI,,,,,,
P_1_1_Darwin_52_T2,Uhhh…,22,Red,Darwin,1_MC_EI,7_MO_EO,,,,,,
P_1_1_Darwin_52_T3,I’ll leave it to you guys!,23,Red,Darwin,1_MC_EI,4_MO_EP,,,,,,
P_1_1_Red_53_T1,Okay explorer!,24,Red,Darwin,1_MO_EP,1_MC_EP,,,,,,
P_1_1_Red_53_T2,Let's clean things up!,25,Red,Darwin,3_MO_EC,1_MC_EP,,,,,,
P_1_1_Red_53_T3,Maybe we’ll learn things while doing so!,26,Red,Darwin,2_MO_EP,1_MC_EP,,,,,,
,,,,,,,,,,,,
$Title,SectionIntro_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
//Darwin STAYS onscreen from the last part and now moves to the middle to talk to the player.,,,,,,,,,,,,
P_1_1_Darwin_54_T1,Oh!,0,Darwin,,8_MO_EP,,,,,,,
P_1_1_Darwin_54_T2,Before you run off explorer...,1,Darwin,,1_MO_EP,,,,,,,
P_1_1_Darwin_54_T3,Let me help you navigate the area.,2,Darwin,,2_MO_EC,,,,,,,
P_1_1_Darwin_54_T4,tap on me when you're ready!,3,Darwin,,10_MO_EO,,,,,,,
,,,,,,,,,,,,
$Title,PreStory_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_1a_Darwin_1_T1,Hey wait! Not so fast explorer.,0,Darwin,,13_MO_EP,,,,,,,
P_1_1a_Darwin_2_T1,Come talk to me so I can prepare you for the challenges you’ll face!,1,Darwin,,1_MO_EP,,,,,,,
,,,,,,,,,,,,
$Title,PreStory_2_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_2_Darwin_1_T1,Are you ready to get started explorer?,0,Darwin,,7_MO_EP,,yes,goto2,goto1,,,
P_1_2_Darwin_2_T1,Okay explorer~ come back when you are ready.,1,Darwin,,11_MO_EC,,,,,yes,,
P_1_2_Darwin_3_T1,Alright explorer! Let's get started!,2,Darwin,,4_MO_EP,,,,,yes,,
,,,,,,,,,,,,
$Title,DarwinQuips_1_p1,,,,,,,,,,,
$Quip Collection,yes,,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_3_Darwin_1_T1,Hmm… I can’t seem to remember…,0,Darwin,,9_MO_EO,,,,,yes,,
P_1_3_Darwin_2_T1,Hmm… think think think….,1,Darwin,,7_MO_EO,,,,,yes,,
P_1_3_Darwin_3_T1,.... what happened here…,2,Darwin,,12_MO_EO,,,,,yes,,
P_1_3_Darwin_4_T1,Hmm…,3,Darwin,,9_MC_EO,,,,,yes,,
P_1_3_Darwin_5_T1,I’m sure I’ll think of something soon explorer…,4,Darwin,,12_MO_EP,,,,,,,
P_1_3_Darwin_5_T2,I hope...,5,Darwin,,9_MO_EO,,,,,yes,,
,,,,,,,,,,,,
$Title,RedLester_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_3a_Red_1_T1,Wow! Look at all the coins you received!,0,Red,,4_MO_EC,,,,,,,
P_1_3a_Red_1_T2,Hey!,1,Red,,1_MO_EP,,,,,,,
P_1_3a_Red_1_T3,What's that button up there,2,Red,,12_MO_EO,,,,,,,
P_1_3a_Red_2_T1,Tap on it and let's see what happens!,3,Red,,9_MO_EP,,,,,,,
,,,,,,,,,,,,
$Title,ForceLester_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,up,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_3b_Darwin_1_T1,Uhhh...,0,Darwin,,7_MO_EO,,,,,,,
P_1_3b_Darwin_1_T2,I think there’s someone you’ll still need to meet before we move forward... ,1,Darwin,,1_MO_EP,,,,,,,
P_1_3b_Darwin_1_T3,Tap the glowing cart button!,2,Darwin,,4_MO_EP,,,,,,,
,,,,,,,,,,,,
$Title,LesterIntro_1_p1,,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,,
$Talkie Start,right,,,,,,,,,,,
$Talkie End,down,,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,,
$Segments,,,,,,,,,,,,
P_1_4_Lester_1_T1,Howdy there friend!,0,,Lester,,2_MO_EP,,,,,,3
