Challenge_Word,Elkonin_Count,E1,E2,E3,E4,E5,E6,Set
might,3,m,explorer,t,,,,explorer
moat,3,m,scare,t,,,,scare
money,4,m,think,n,spider,,,think
mood,3,m,that_guy,d,,,,that_guy
moose,3,m,that_guy,s,,,,that_guy
most,4,m,scare,s,t,,,scare
mountain,6,m,bump_head,n,t,listen,n,bump_head
mouse,3,m,bump_head,s,,,,bump_head
much,3,m,think,ch,,,,think
mule,3,m,that_guy,l,,,,that_guy
music,5,m,that_guy,s,poop,c,,that_guy
must,4,m,think,s,t,,,think
mute,3,m,that_guy,t,,,,that_guy
my,2,m,explorer,,,,,explorer
myth,3,m,poop,th,,,,poop
nail,3,n,hello,l,,,,hello
near,2,n,sound,,,,,sound
need,3,n,spider,d,,,,spider
nest,4,n,listen,s,t,,,listen
new,2,n,that_guy,,,,,that_guy
next,4,n,listen,x,t,,,listen
night,3,n,explorer,t,,,,explorer
no,2,n,scare,,,,,scare
noise,3,n,howler_monkey,s,,,,howler_monkey
nook,3,n,backback,k,,,,backpack
noon,3,n,that_guy,n,,,,that_guy
nose,3,n,scare,s,,,,scare
not,3,n,orcs,t,,,,orcs
note,3,n,scare,t,,,,scare
noun,3,n,bump_head,n,,,,bump_head
now,2,n,bump_head,,,,,bump_head
nut,3,n,think,t,,,,think
off,2,orcs,f,,,,,orcs
oil,2,howler_monkey,l,,,,,howler_monkey
oink,3,howler_monkey,n,k,,,,howler_monkey
okay,3,scare,k,hello,,,,hello
old,3,scare,l,d,,,,scare
on,2,orcs,n,,,,,orcs
open,4,scare,p,listen,n,,,scare
other,3,think,th,gorilla,,,,think
ought,2,orcs,t,,,,,orcs
out,2,bump_head,t,,,,,bump_head
over,3,scare,v,gorilla,,,,scare
owl,2,bump_head,l,,,,,bump_head
own,2,scare,n,,,,,scare
pack,3,p,mudslide,c,,,,mudslide
paid,3,p,hello,d,,,,hello
paint,4,p,hello,n,t,,,hello
park,3,p,pirate,k,,,,pirate
party,4,p,pirate,t,spider,,,pirate
pay,2,p,hello,,,,,hello
pear,2,p,strong_wind,,,,,strong_wind
pen,3,p,listen,n,,,,listen
pet,3,p,listen,t,,,,listen
pew,2,p,that_guy,,,,,that_guy
pie,2,p,explorer,,,,,explorer
pig,3,p,poop,g,,,,poop
pine,3,p,explorer,n,,,,explorer
pioneer,5,p,explorer,scare,n,sound,,sound
plan,4,p,l,mudslide,n,,,mudslide
play,3,p,l,hello,,,,hello
please,4,p,l,spider,s,,,spider
pop,3,p,orcs,p,,,,orcs
porch,3,p,choice,ch,,,,choice
pork,3,p,choice,k,,,,choice
port,3,p,choice,t,,,,choice
pray,3,p,r,hello,,,,hello
pretty,5,p,r,listen,t,spider,,listen
prey,3,p,r,hello,,,,hello
proof,4,p,r,that_guy,f,,,that_guy
prune,4,p,r,that_guy,n,,,that_guy
pupil,5,p,that_guy,p,poop,l,,that_guy
pure,2,p,give,,,,,give
puree,3,p,give,hello,,,,give
put,3,p,backpack,t,,,,backpack
quick,4,c,w,poop,c,,,poop
quit,4,c,w,poop,t,,,poop
rail,3,r,hello,l,,,,hello
rain,3,r,hello,n,,,,hello
rake,3,r,hello,k,,,,hello
ran,3,r,mudslide,n,,,,mudslide
rare,2,r,strong_wind,,,,,strong_wind
rash,3,r,mudslide,sh,,,,mudslide
rat,3,r,mudslide,t,,,,mudslide
raw,2,r,baby_monkey,,,,,baby_monkey
ray,2,r,hello,,,,,hello
read,3,r,spider,d,,,,spider
real,3,r,spider,l,,,,spider
red,3,r,listen,d,,,,listen
ride,3,r,explorer,d,,,,explorer
right,3,r,explorer,t,,,,explorer
road,3,r,scare,d,,,,scare
roast,4,r,scare,s,t,,,scare
rode,3,r,scare,d,,,,scare
rose,3,r,scare,s,,,,scare
round,4,r,bump_head,n,d,,,bump_head
royal,3,r,howler_monkey,l,,,,howler_monkey
rug,3,r,think,g,,,,think
rule,3,r,that_guy,l,,,,that_guy
run,3,r,think,n,,,,think
sad,3,s,mudslide,d,,,,mudslide
said,3,s,listen,d,,,,listen
sail,3,s,hello,l,,,,hello
sale,3,s,hello,l,,,,hello
same,3,s,hello,m,,,,hello
save,3,s,hello,v,,,,hello
saw,2,s,baby_monkey,,,,,baby_monkey
say,2,s,hello,,,,,hello
scar,3,s,c,pirate,,,,pirate
scare,3,s,c,strong_wind,,,,strong_wind
school,4,s,c,that_guy,l,,,that_guy
scoop,4,s,c,that_guy,p,,,that_guy
scorch,4,s,c,choice,ch,,,choice
scowl,4,s,c,bump_head,l,,,bump_head
screw,4,s,c,r,that_guy,,,that_guy
sea,2,s,spider,,,,,spider
secure,4,s,listen,c,give,,,give
see,2,s,spider,,,,,spider
seed,3,s,spider,d,,,,spider
seem,3,s,spider,m,,,,spider
set,3,s,listen,t,,,,listen
share,2,sh,strong_wind,,,,,strong_wind
shark,3,sh,pirate,k,,,,pirate
shave,3,sh,hello,v,,,,hello
shawl,3,sh,baby_monkey,l,,,,baby_monkey
she,2,sh,spider,,,,,spider
shield,4,sh,spider,l,d,,,spider
shirt,3,sh,gorilla,t,,,,gorilla
shook,3,sh,backpack,k,,,,backpack
shoot,3,sh,that_guy,t,,,,that_guy
short,3,sh,choice,t,,,,choice
should,3,sh,backpack,d,,,,backpack
shout,3,sh,bump_head,t,,,,bump_head
show,2,sh,scare,,,,,scare
shy,2,sh,explorer,,,,,explorer
sigh,2,s,explorer,,,,,explorer
sister,5,s,poop,s,t,gorilla,,poop
sit,3,s,poop,t,,,,poop
six,3,s,poop,x,,,,poop
skirt,4,s,k,gorilla,t,,,gorilla
sky,3,s,k,explorer,,,,explorer
sled,4,s,l,listen,d,,,listen
sleep,4,s,l,spider,p,,,spider
smart,4,s,m,pirate,t,,,pirate
smash,4,s,m,mudslide,sh,,,mudslide
smell,4,s,m,listen,l,,,listen
smoke,4,s,m,scare,k,,,scare
snail,4,s,n,hello,l,,,hello
snooze,4,s,n,that_guy,z,,,that_guy
so,2,s,scare,,,,,scare
soil,3,s,howler_monkey,l,,,,howler_monkey
some,3,s,think,m,,,,think
son,3,s,think,n,,,,think
soon,3,s,that_guy,n,,,,that_guy
sound,4,s,bump_head,n,d,,,bump_head
soup,3,s,that_guy,p,,,,that_guy
spare,3,s,p,strong_wind,,,,strong_wind
spark,4,s,p,pirate,k,,,pirate
spat,4,s,p,mudslide,t,,,mudslide
speak,4,s,p,spider,k,,,spider
spear,3,s,p,sound,,,,sound
spill,4,s,p,poop,l,,,poop
spoil,4,s,p,howler_monkey,l,,,howler_monkey
sport,4,s,p,choice,t,,,choice
spot,4,s,p,orcs,t,,,orcs
spread,5,s,p,r,listen,d,,listen
spy,3,s,p,explorer,,,,explorer
stab,4,s,t,mudslide,b,,,mudslide
stairs,4,s,t,strong_wind,s,,,strong_wind
stare,3,s,t,strong_wind,,,,strong_wind
start,4,s,t,pirate,t,,,pirate
steer,3,s,t,sound,,,,sound
stew,3,s,t,that_guy,,,,that_guy
stir,3,s,t,gorilla,,,,gorilla
stone,4,s,t,scare,n,,,scare
stop,4,s,t,orcs,p,,,orcs
storm,4,s,t,choice,m,,,choice
straw,4,s,t,r,baby_monkey,,,baby_monkey
street,5,s,t,r,spider,t,,spider
stripe,5,s,t,r,explorer,p,,explorer
stroke,5,s,t,r,scare,k,,scare
stump,5,s,t,think,m,p,,think
such,3,s,think,ch,,,,think
suit,3,s,that_guy,t,,,,that_guy
sum,3,s,think,m,,,,think
sun,3,s,think,n,,,,think
surf,3,s,gorilla,f,,,,gorilla
sweat,4,s,w,listen,t,,,listen
sweet,4,s,w,spider,t,,,spider
sword,3,s,choice,d,,,,choice
table,4,t,hello,b,l,,,hello
tail,3,t,hello,l,,,,hello
take,3,t,hello,k,,,,hello
tap,3,t,mudslide,p,,,,mudslide
tar,2,t,pirate,,,,,pirate
taught,3,t,orcs,t,,,,orcs
tear,2,t,sound,,,,,sound
tell,3,t,listen,l,,,,listen
ten,3,t,listen,n,,,,listen
test,4,t,listen,s,t,,,listen
thaw,2,th,baby_monkey,,,,,baby_monkey
them,3,th,listen,m,,,,listen
then,3,th,listen,n,,,,listen
these,3,th,spider,s,,,,spider
they,2,th,hello,,,,,hello
those,3,th,scare,s,,,,scare
though,2,th,scare,,,,,scare
thought,3,th,orcs,t,,,,orcs
thread,4,th,r,listen,d,,,listen
three,3,th,r,spider,,,,spider
threw,3,th,r,that_guy,,,,that_guy
throw,3,th,r,scare,,,,scare
tight,3,t,explorer,t,,,,explorer
tip,3,t,poop,p,,,,poop
toast,4,t,scare,s,t,,,scare
today,4,t,that_guy,d,hello,,,hello
toe,2,t,scare,,,,,scare
told,4,t,scare,l,d,,,scare
ton,3,t,think,n,,,,think
tone,3,t,scare,n,,,,scare
too,2,t,that_guy,,,,,that_guy
top,3,t,orcs,p,,,,orcs
torch,3,t,choice,ch,,,,choice
torn,3,t,choice,n,,,,choice
touch,3,t,think,ch,,,,think
tough,3,t,think,f,,,,think
town,3,t,bump_head,n,,,,bump_head
toy,2,t,howler_monkey,,,,,howler_monkey
train,4,t,r,hello,n,,,hello
tree,3,t,r,spider,,,,spider
truck,4,t,r,think,k,,,think
try,3,t,r,explorer,,,,explorer
tub,3,t,think,b,,,,think
tube,3,t,that_guy,b,,,,that_guy
turn,3,t,gorilla,n,,,,gorilla
up,2,think,p,,,,,think
upon,4,think,p,orcs,n,,,think
us,2,think,s,,,,,think
use,2,that_guy,s,,,,,that_guy
veil,3,v,hello,l,,,,hello
vein,3,v,hello,n,,,,hello
very,4,v,hello,r,spider,,,hello
wait,3,w,hello,t,,,,hello
want,4,w,orcs,n,t,,,orcs
water,4,w,orcs,t,gorilla,,,orcs
wave,3,w,hello,v,,,,hello
wax,3,w,mudslide,x,,,,mudslide
way,2,w,hello,,,,,hello
we,2,w,spider,,,,,spider
wear,2,w,strong_wind,,,,,strong_wind
weight,3,w,hello,t,,,,hello
weird,3,w,sound,d,,,,sound
wet,3,w,listen,t,,,,listen
white,3,w,explorer,t,,,,explorer
why,2,w,explorer,,,,,explorer
wide,3,w,explorer,d,,,,explorer
wig,3,w,poop,g,,,,poop
wild,4,w,explorer,l,d,,,explorer
winter,5,w,poop,n,t,gorilla,,poop
wish,3,w,poop,sh,,,,poop
won,3,w,think,n,,,,think
wood,3,w,backpack,d,,,,backpack
work,3,w,gorilla,k,,,,gorilla
world,4,w,gorilla,l,d,,,gorilla
worm,3,w,gorilla,m,,,,gorilla
worse,4,w,gorilla,r,s,,,gorilla
would,3,w,backpack,d,,,,backpack
write,3,r,explorer,t,,,,explorer
yard,3,y,pirate,d,,,,pirate
yarn,3,y,pirate,n,,,,pirate
year,2,y,sound,,,,,sound
yell,3,y,listen,l,,,,listen
yes,3,y,listen,s,,,,listen
you,2,y,that_guy,,,,,that_guy
zip,3,z,poop,p,,,,poop
