,text,index,left character,right character,left emote,right emote,RequireYN?,OnYes,OnNo,End Talkie ?,Talkie Motion
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Cha_0_1d_Julius_1_T1,...,0,Marcus,Julius,6_MC,21_MC_EO,,,,,
Marcus_Laugh,HA HA HA!!!,1,Marcus,Brutus,6_MO,7_MC,,,,,
Cha_0_1a_Marcus_1_T2,Good job your majesty! ,2,Marcus,Brutus,3_MO,7_MC,,,,,
Cha_0_1a_Marcus_1_T3,Show them who is in charge!,3,Marcus,Brutus,2_MO,7_MC,,,,,
Cha_0_1a_Brutus_2_T1,Heh heh… ,4,Marcus,Brutus,2_MC,8_MO,,,,,
Cha_0_1a_Brutus_2_T2,nice.,5,Marcus,Brutus,2_MC,3_MO,,,,,
Cha_0_1d_Julius_2_T1,yeah… I guess,6,Marcus,Julius,2_MC,21_MO_EI,,,,,
Cha_0_1a_Red_4_T1,It’s okay Explorer! ,7,Red,Julius,1_MO_EP,21_MC_EO,,,,,
Cha_0_1a_Red_4_T2,Let's go practice some more.,8,Red,Julius,2_MO_EP,21_MC_EO,,,,,
,,,,,,,,,,,
$Title,ChaJuliusWins_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Cha_0_1a_Red_4_T1,It’s okay Explorer! ,0,Red,,1_MO_EP,,,,,,
Cha_0_1a_Red_4_T2,Let's go practice some more.,1,Red,,2_MO_EP,,,,,,
,,,,,,,,,,,
$Title,ChaJulius_1_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Cha_0_1b_Julius_1_T1,Grrowr! ,0,,Julius,,2_MO_EP,,,,,
Cha_0_1b_Julius_1_T2,Come on Explorer~,1,,Julius,,4_MO_EP,,,,,
Cha_0_1b_Julius_1_T3,are you ready to challenge me again?,2,,Julius,,2_MO_EP,yes,goto3,goto4,,
Cha_0_1b_Julius_2_T1,Alright~ let's do this!,3,,Julius,,4_MO_EP,,,,yes,
Cha_0_1b_Julius_3_T1,Hmmph~ I’ll be waiting.,4,,Julius,,7_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,ChaJulius_1_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Cha_0_1e_Julius_1_T1,Are you ready Explorer?,0,,Julius,,1_MO_EP,yes,goto1,goto2,,
Cha_0_1e_Julius_2_T1,Alright~ let's do this.,1,,Julius,,4_MO_EP,,,,yes,
Cha_0_1e_Julius_3_T1,I’ll be waiting...,2,,Julius,,1_MO_EP,,,,yes,
,,,,,,,,,,,
$Title,ChaJulius_1_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Cha_0_1f_Julius_1_T1,Hey… you ready to try again?,0,,Julius,,12_MO_EP,yes,goto1,goto2,,
Cha_0_1f_Julius_2_T1,Okay... let’s just get this over with.,1,,Julius,,21_MO_EC,,,,yes,
Cha_0_1f_Julius_3_T1,...,2,,Julius,,21_MC_EO,,,,yes,
,,,,,,,,,,,
$Title,ChaJulius_2_p1,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Cha_0_1_Julius_1_T1,Ugh! How can this be!?,0,,Julius,,12_MO_EO,,,,,
Cha_0_1_Julius_1_T2,Well.,1,,Julius,,9_MO_EP,,,,,
Cha_0_1_Julius_1_T3,You won't be able to beat my friends.,2,,Julius,,4_MO_EP,,,,,
Cha_0_1_Julius_1_T4,Marcus! It’s your turn! ,3,,Julius,,7_MO_EI,,,,,
Marcus_Laugh,HA HA HA!!!,4,Julius,Marcus,12_MC_EI,6_MO,,,,,
Cha_0_1_Marcus_2_T2,Yes your highness!,5,Julius,Marcus,2_MC_EP,2_MO,,,,,
Cha_0_1_Marcus_2_T3,Are you ready to lose Explorer!?,6,Julius,Marcus,2_MC_EP,3_MO,yes,goto7,goto9,,
Marcus_Laugh,HA HA HA!!!,7,,Marcus,,6_MO,,,,,
Cha_0_1_Marcus_3_T2,Prepare yourself Explorer! ,8,,Marcus,,3_MO,,,,yes,
Cha_0_1_Marcus_4_T1,WHAT!? EXCUSE ME!?,9,,Marcus,,9_MO,,,,,
Cha_0_1_Marcus_4_T2,…,10,,Marcus,,9_MC,,,,,
Cha_0_1_Marcus_4_T3,Whatever.,11,,Marcus,,5_MO,,,,,
Cha_0_1_Marcus_4_T4,Come back when you're ready for my victory!,12,,Marcus,,2_MO,,,,,
Marcus_Laugh,HA HA HA!!!,13,,Marcus,,6_MO,,,,yes,
,,,,,,,,,,,
$Title,ChaJulius_2_p2,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
$Talkie End,down,,,,,,,,,,
$Dim BG Start,yes,,,,,,,,,,
$Dim BG End,yes,,,,,,,,,,
$Letterbox Start,yes,,,,,,,,,,
$Letterbox End,yes,,,,,,,,,,
$Segments,,,,,,,,,,,
Cha_0_1g_Julius_1_T1,ARGH! How do you keep beating me!,0,,Julius,,7_MO_EP,,,,,
Cha_0_1g_Julius_1_T2,Well I bet you can’t beat Marcus!,1,,Julius,,2_MO_EI,,,,,
Marcus_Laugh,HA HA HA!!!,2,Julius,Marcus,4_MC_EI,6_MO,,,,,
Cha_0_1_Marcus_2_T2,Yes your highness!,3,Julius,Marcus,4_MC_EI,2_MO,,,,,
Cha_0_1_Marcus_2_T3,Are you ready to lose Explorer!?,4,Julius,Marcus,4_MC_EP,3_MO,yes,goto5,goto7,,
Marcus_Laugh,HA HA HA!!!,5,,Marcus,,6_MO,,,,,
Cha_0_1_Marcus_3_T2,Prepare yourself Explorer! ,6,,Marcus,,3_MO,,,,yes,
Cha_0_1_Marcus_4_T1,WHAT!? EXCUSE ME!?,7,,Marcus,,9_MO,,,,,
Cha_0_1_Marcus_4_T2,…,8,,Marcus,,9_MC,,,,,
Cha_0_1_Marcus_4_T3,Whatever.,9,,Marcus,,5_MO,,,,,
Cha_0_1_Marcus_4_T4,Come back when you're ready for my victory!,10,,Marcus,,2_MO,,,,,
Marcus_Laugh,HA HA HA!!!,11,,Marcus,,6_MO,,,,yes,
,,,,,,,,,,,
$Title,ChaJulius_2_p3,,,,,,,,,,
$Quip Collection,no,,,,,,,,,,
$Talkie Start,sides,,,,,,,,,,
